SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
91st Psalm Christian School,Private,N,,21,2020 E BASELINE RD,PHOENIX,AZ,85042,MARICOPA COUNTY,GREATER THAN,85.7%,9.5%,95.2%,85.7%,9.5%,95.2%,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,85.7%,14.3%,100.0%,14.3%,0.0%,9.5%
A J Mitchell Elementary School,Public,Y,RN,64,855 N BAUTISTA ST,NOGALES,AZ,85621,SANTA CRUZ COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Abia Judd,Public,Y,RN,91,1749 N WILLIAMSON VALLEY RD,PRESCOTT,AZ,86305,YAVAPAI COUNTY,GREATER THAN,87.9%,8.8%,96.7%,89.0%,8.8%,97.8%,87.9%,9.9%,97.8%,89.0%,8.8%,97.8%,89.0%,9.9%,98.9%,8.8%,1.1%,0.0%
Abraham Lincoln,Public,N,,84,10444 N 39TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,GREATER THAN,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,100.0%,0.0%,100.0%,2.4%,0.0%,2.4%
Acacia Elementary School,Public,N,,122,12955 E COLOSSAL CAVE RD,VAIL,AZ,85641,PIMA COUNTY,GREATER THAN,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,3.3%,99.2%,96.7%,3.3%,100.0%,4.1%,0.0%,0.0%
Academy Adventures Midtown,Charter,N,,≤ 20,3025 N WINSTEL BLVD,TUCSON,AZ,85716,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Academy Adventures Primary School,Charter,N,,≤ 20,3902 N FLOWING WELLS RD,TUCSON,AZ,85705,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Academy Del Sol,Charter,N,,25,732 W ROGER RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Academy Del Sol - Hope,Charter,N,,76,7102 W VALLEY CREST PL,TUCSON,AZ,85757,PIMA COUNTY,GREATER THAN,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,1.3%,0.0%,1.3%
Academy Of Excellence,Charter,N,,≤ 20,425 N 36TH ST,PHOENIX,AZ,85008,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Academy Of Math & Science Camelback,Charter,N,,85,6633 W CAMELBACK RD,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,97.6%,1.2%,98.8%,97.6%,1.2%,98.8%,94.1%,1.2%,95.3%,97.6%,1.2%,98.8%,97.6%,1.2%,98.8%,1.2%,0.0%,1.2%
Academy Of Math And Science,Charter,N,,56,1557 W PRINCE RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Academy Of Mathematics And Science South,Charter,N,,88,3335 W FLOWER ST,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,95.5%,2.3%,97.7%,95.5%,2.3%,97.7%,96.6%,2.3%,98.9%,96.6%,2.3%,98.9%,96.6%,2.3%,98.9%,2.3%,0.0%,0.0%
Academy Of Tucson Elementary School,Charter,N,,51,9209 E WRIGHTSTOWN RD,TUCSON,AZ,85715,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Accel,Private,Y,RN,≤ 20,10251 N 35TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Accelerated Learning Laboratory,Charter,N,,≤ 20,5245 N CAMINO DE OESTE,TUCSON,AZ,85745,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acorn Montessori,Charter,N,,69,7555 E LONG LOOK DR,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,8.7%,0.0%,8.7%
Adams Elementary School,Public,Y,RN,105,738 S LONGMORE,MESA,AZ,85202,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Adams Traditional Academy,Charter,Y,RN,128,2323 W PARKSIDE LN,PHOENIX,AZ,85027,MARICOPA COUNTY,GREATER THAN,88.3%,11.7%,100.0%,90.6%,9.4%,100.0%,88.3%,11.7%,100.0%,89.8%,10.2%,100.0%,91.4%,8.6%,100.0%,60.2%,0.0%,6.3%
Adobe Montessori School Inc.,Private,N,,≤ 20,6400 W DEL RIO ST,CHANDLER,AZ,85226,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Advance U,Charter,N,,≤ 20,449 E SOUTHERN AVE,PHOENIX,AZ,85040,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adventure School,Charter,N,,23,5757 E PIMA ST,TUCSON,AZ,85712,PIMA COUNTY,GREATER THAN,78.3%,17.4%,95.7%,82.6%,17.4%,100.0%,78.3%,17.4%,95.7%,82.6%,17.4%,100.0%,82.6%,17.4%,100.0%,17.4%,0.0%,17.4%
Agua Caliente Elementary School,Public,Y,RN,51,11420 E LIMBERLOST RD,TUCSON,AZ,85749,PIMA COUNTY,GREATER THAN,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,5.9%,0.0%,5.9%
Aguila Elementary School,Public,N,,≤ 20,50023 N 51ST AVE,AGUILA,AZ,85320,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguilar School,Public,Y,RN,71,5800 S FOREST AVE,TEMPE,AZ,85283,MARICOPA COUNTY,GREATER THAN,93.0%,7.0%,100.0%,95.8%,4.2%,100.0%,93.0%,7.0%,100.0%,95.8%,4.2%,100.0%,98.6%,1.4%,100.0%,4.2%,0.0%,0.0%
Ahwatukee Foothills Montessori,Private,N,,≤ 20,3221 E CHANDLER BLVD,PHOENIX,AZ,85048,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
