SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,RN,PUBLIC,82,92.7%,1.2%,93.9%,93.9%,1.2%,95.1%,92.7%,1.2%,93.9%,97.6%,1.2%,98.8%,97.6%,1.2%,98.8%,1.2%,0.0%,1.2%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,YES,RN,PUBLIC,74,89.2%,4.1%,93.2%,87.8%,4.1%,91.9%,87.8%,5.4%,93.2%,91.9%,4.1%,95.9%,91.9%,2.7%,94.6%,5.4%,1.4%,1.4%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,70,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,97.1%,1.4%,100.0%,98.6%,1.4%,100.0%,4.3%,0.0%,2.9%
SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,CHANDLER,MARICOPA,85225,YES,RN,PUBLIC,52,94.2%,5.8%,100.0%,94.2%,5.8%,100.0%,94.2%,5.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,5.8%,0.0%,0.0%
JOHNSON ELEMENTARY SCHOOL,3807 E PUEBLO,MESA,MARICOPA,85206,YES,RN,PUBLIC,81,95.1%,3.7%,100.0%,95.1%,3.7%,100.0%,96.3%,3.7%,100.0%,97.5%,2.5%,100.0%,96.3%,3.7%,100.0%,3.7%,0.0%,3.7%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,67,94.0%,4.5%,100.0%,94.0%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,4.5%,1.5%,4.5%
MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MESA,MARICOPA,85205,YES,RN,PUBLIC,64,93.8%,1.6%,95.3%,95.3%,1.6%,96.9%,92.2%,1.6%,95.3%,96.9%,1.6%,98.4%,98.4%,1.6%,100.0%,1.6%,0.0%,1.6%
ISHIKAWA ELEMENTARY SCHOOL,2635 N 32ND ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,108,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,93.5%,6.5%,100.0%,96.3%,3.7%,100.0%,100.0%,0.0%,100.0%,6.5%,0.0%,2.8%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,62,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,90.3%,8.1%,100.0%,95.2%,4.8%,100.0%,96.8%,3.2%,100.0%,8.1%,0.0%,3.2%
SOUSA ELEMENTARY SCHOOL,616 N MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,55,90.9%,9.1%,100.0%,94.5%,5.5%,100.0%,92.7%,5.5%,100.0%,96.4%,3.6%,100.0%,100.0%,0.0%,100.0%,10.9%,1.8%,0.0%
HERMOSA VISTA ELEMENTARY SCHOOL,2626 N 24TH ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,88,95.5%,0.0%,100.0%,93.2%,6.8%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,100.0%,0.0%,100.0%,6.8%,0.0%,0.0%
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,57,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,87.7%,12.3%,100.0%,89.5%,8.8%,100.0%,100.0%,0.0%,100.0%,12.3%,1.8%,8.8%
PORTER ELEMENTARY SCHOOL,1350 S LINDSAY,MESA,MARICOPA,85204,YES,RN,PUBLIC,81,92.6%,2.5%,98.8%,96.3%,1.2%,98.8%,91.4%,3.7%,97.5%,95.1%,2.5%,98.8%,97.5%,1.2%,98.8%,3.7%,0.0%,1.2%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,76,90.8%,5.3%,100.0%,90.8%,5.3%,100.0%,92.1%,6.6%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,6.6%,0.0%,3.9%
RED MOUNTAIN RANCH ELEMENTARY,6650 E RAFTRIVER RD,MESA,MARICOPA,85215,YES,RN,PUBLIC,59,89.8%,10.2%,100.0%,89.8%,10.2%,100.0%,89.8%,10.2%,100.0%,91.5%,8.5%,100.0%,89.8%,10.2%,100.0%,11.9%,0.0%,8.5%
BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,78,93.6%,6.4%,100.0%,94.9%,5.1%,100.0%,93.6%,6.4%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,6.4%,0.0%,5.1%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,96,90.6%,9.4%,100.0%,92.7%,7.3%,100.0%,91.7%,8.3%,100.0%,95.8%,4.2%,100.0%,96.9%,3.1%,100.0%,9.4%,0.0%,2.1%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,74,87.8%,9.5%,97.3%,91.9%,6.8%,100.0%,91.9%,6.8%,100.0%,93.2%,6.8%,100.0%,90.5%,8.1%,100.0%,9.5%,1.4%,6.8%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,105,94.3%,2.9%,99.0%,96.2%,2.9%,99.0%,93.3%,2.9%,99.0%,96.2%,1.9%,98.1%,98.1%,1.9%,100.0%,3.8%,0.0%,2.9%
PEDRO GUERRERO ELEMENTARY,463 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PUBLIC,51,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,96.1%,3.9%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,3.9%,0.0%,2.0%
BUTTERFIELD ELEMENTARY SCHOOL,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,,PUBLIC,68,91.2%,2.9%,94.1%,91.2%,4.4%,97.1%,94.1%,2.9%,97.1%,91.2%,4.4%,95.6%,95.6%,2.9%,98.5%,4.4%,0.0%,2.9%
