,year,type,measles_vax_kids,total_kids,percent_vax
0,2015,charter,12566.0,13238.0,0.9492370448708264
1,2015,private,2488.0,2540.0,0.9795275590551181
2,2015,public,68579.0,69734.0,0.9834370608311584
3,2016,charter,12206.0,12895.0,0.946568437378829
4,2016,private,2262.0,2310.0,0.9792207792207792
5,2016,public,68808.0,70221.0,0.9798778143290469
6,2017,charter,12544.0,13200.0,0.9503030303030303
7,2017,private,2582.0,2688.0,0.9605654761904762
8,2017,public,66795.0,68151.0,0.9801030065589647
9,2018,charter,13790.0,14624.0,0.9429704595185996
10,2018,private,2619.0,2755.0,0.9506352087114338
11,2018,public,66613.0,68270.0,0.9757287241833895
12,2019,charter,14859.0,15673.0,0.9480635487781535
13,2019,private,2301.0,2407.0,0.9559617781470711
14,2019,public,68114.0,69845.0,0.9752165509342114
15,2020,charter,14881.0,15932.0,0.934032136580467
16,2020,private,2391.0,2522.0,0.9480570975416336
17,2020,public,59558.0,61044.0,0.9756569032173514
18,2021,charter,15928.0,17130.0,0.9298307063631056
19,2021,private,3157.0,3397.0,0.929349425964086
20,2021,public,60617.0,62414.0,0.9712083827346428
21,2022,charter,15712.0,16863.0,0.9317440550317263
22,2022,private,2856.0,3042.0,0.9388560157790927
23,2022,public,59910.0,61849.0,0.9686494526993161
24,2023,charter,15004.0,16255.0,0.9230390649031067
25,2023,private,2985.0,3184.0,0.9375
26,2023,public,59216.0,61249.0,0.96680762134892
