SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,RN,PUBLIC,42,85.7%,0.0%,85.7%,85.7%,0.0%,85.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,YES,RN,PUBLIC,68,92.6%,0.0%,97.1%,92.6%,0.0%,95.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,79,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,98.7%,0.0%,100.0%,100.0%,0.0%,100.0%,98.7%,0.0%,100.0%,98.7%,1.3%,100.0%,3.8%,0.0%,0.0%
SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,CHANDLER,MARICOPA,85225,YES,RN,PUBLIC,52,96.2%,1.9%,100.0%,96.2%,1.9%,100.0%,98.1%,1.9%,100.0%,96.2%,3.8%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,3.8%,0.0%,1.9%
JOHNSON ELEMENTARY SCHOOL,3807 E PUEBLO,MESA,MARICOPA,85206,YES,RN,PUBLIC,57,87.7%,10.5%,100.0%,86.0%,12.3%,100.0%,93.0%,7.0%,100.0%,93.0%,7.0%,100.0%,91.2%,8.8%,100.0%,94.7%,5.3%,100.0%,12.3%,0.0%,5.3%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,44,93.2%,0.0%,100.0%,93.2%,6.8%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,100.0%,0.0%,100.0%,9.1%,0.0%,0.0%
MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MESA,MARICOPA,85205,YES,RN,PUBLIC,62,83.9%,11.3%,95.2%,82.3%,11.3%,93.5%,96.8%,3.2%,100.0%,98.4%,1.6%,100.0%,96.8%,3.2%,100.0%,100.0%,0.0%,100.0%,11.3%,0.0%,0.0%
ISHIKAWA ELEMENTARY SCHOOL,2635 N 32ND ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,108,88.9%,9.3%,100.0%,88.9%,9.3%,100.0%,95.4%,4.6%,100.0%,94.4%,5.6%,100.0%,95.4%,4.6%,100.0%,100.0%,0.0%,100.0%,11.1%,0.0%,0.0%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,59,91.5%,8.5%,100.0%,91.5%,8.5%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,8.5%,0.0%,3.4%
SOUSA ELEMENTARY SCHOOL,616 N MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,82,95.1%,3.7%,98.8%,95.1%,3.7%,98.8%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,100.0%,0.0%,100.0%,3.7%,0.0%,0.0%
HERMOSA VISTA ELEMENTARY SCHOOL,2626 N 24TH ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,84,89.3%,6.0%,97.6%,86.9%,1.2%,97.6%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,97.6%,2.4%,100.0%,98.8%,1.2%,100.0%,8.3%,0.0%,1.2%
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,77,93.5%,6.5%,100.0%,92.2%,7.8%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,100.0%,0.0%,100.0%,9.1%,0.0%,0.0%
PORTER ELEMENTARY SCHOOL,1350 S LINDSAY,MESA,MARICOPA,85204,YES,RN,PUBLIC,64,87.5%,6.3%,98.4%,87.5%,6.3%,93.8%,98.4%,1.6%,100.0%,96.9%,3.1%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,9.4%,1.6%,0.0%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,90,87.8%,10.0%,97.8%,87.8%,10.0%,97.8%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,100.0%,0.0%,100.0%,10.0%,0.0%,0.0%
RED MOUNTAIN RANCH ELEMENTARY,6650 E RAFTRIVER RD,MESA,MARICOPA,85215,YES,RN,PUBLIC,66,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,6.1%,0.0%,0.0%
BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,65,90.8%,9.2%,100.0%,86.2%,13.8%,100.0%,86.2%,12.3%,100.0%,90.8%,9.2%,100.0%,93.8%,6.2%,100.0%,90.8%,9.2%,100.0%,16.9%,1.5%,6.2%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,98,88.8%,6.1%,100.0%,88.8%,6.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,93.9%,6.1%,100.0%,7.1%,0.0%,5.1%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,83,91.6%,7.2%,100.0%,91.6%,7.2%,100.0%,94.0%,6.0%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,100.0%,0.0%,100.0%,7.2%,0.0%,0.0%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,89,94.4%,3.4%,100.0%,93.3%,4.5%,100.0%,95.5%,2.2%,97.8%,96.6%,1.1%,97.8%,95.5%,2.2%,97.8%,96.6%,2.2%,98.9%,4.5%,0.0%,1.1%
PEDRO GUERRERO ELEMENTARY,463 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PUBLIC,66,97.0%,1.5%,98.5%,93.9%,1.5%,98.5%,98.5%,1.5%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,98.5%,1.5%,100.0%,3.0%,0.0%,1.5%
BUTTERFIELD ELEMENTARY SCHOOL,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,,PUBLIC,78,91.0%,1.3%,94.9%,91.0%,1.3%,92.3%,97.4%,1.3%,98.7%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,1.3%,0.0%,1.3%
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,62,93.5%,3.2%,98.4%,95.2%,3.2%,98.4%,96.8%,1.6%,98.4%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,1.6%
JAMES KENDALL ZAHARIS ELEMENTARY,9410 E MCKELLIPS RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,107,87.9%,8.4%,100.0%,88.8%,8.4%,100.0%,95.3%,4.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,11.2%,0.0%,2.8%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,35,91.4%,2.9%,100.0%,94.3%,2.9%,100.0%,94.3%,2.9%,97.1%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
