SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A J MITCHELL ELEMENTARY SCHOOL,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,49,93.9%,2.0%,100.0%,95.9%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,117,78.6%,12.8%,95.7%,78.6%,12.8%,95.7%,82.1%,12.0%,95.7%,85.5%,12.0%,99.1%,88.0%,11.1%,99.1%,12.8%,0.0%,12.0%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,49,91.8%,N/A,100.0%,91.8%,8.2%,100.0%,91.8%,8.2%,100.0%,95.9%,4.1%,100.0%,100.0%,0.0%,100.0%,10.2%,0.0%,8.2%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,125,94.4%,N/A,100.0%,95.2%,4.8%,100.0%,96.0%,4.0%,100.0%,97.6%,2.4%,100.0%,98.4%,1.6%,100.0%,6.4%,0.0%,0.8%
ACACIA ELEMENTARY SCHOOL,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,NO,,PUBLIC,130,93.1%,4.6%,98.5%,93.1%,3.8%,97.7%,96.2%,3.1%,99.2%,96.9%,3.1%,100.0%,93.8%,6.2%,100.0%,4.6%,1.5%,3.1%
ACADEMY DEL SOL,732 W ROGER RD,TUCSON,PIMA,85705,NO,,CHARTER,46,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,LPN,CHARTER,71,97.2%,2.8%,100.0%,100.0%,0.0%,100.0%,97.2%,2.8%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,2.8%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,49,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,NO,,CHARTER,123,99.2%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,92,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,96.7%,3.3%,100.0%,4.3%,0.0%,1.1%
