,Unnamed: 0,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,mmr_vax_count,exempt_count_mmr,unvax_mmr,missing_forms_mmr,polio_vax_count,exempt_count_polio,unvax_polio,missing_forms_polio,dtap_vax_count,exempt_count_dtap,unvax_dtap,missing_forms_dtap,hep_vax_count,exempt_count_hep,unvax_hep,missing_forms_hep,var_vax_count,exempt_count_var,unvax_var,missing_forms_var,mf2_mmr,mf2_polio,mf2_dtap,mf2_hep,mf2_var,mmr_herd_immune,polio_herd_immune,dtap_herd_immune,hep_herd_immune,var_herd_immune
1,1,a.j.mitchell elementary school,public,855 n bautista ave.,nogales,santa cruz,85621.0,y,63.0,0.937,0.968,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2015,63.0,0.0,0.0,0.0,61.0,0.0,2.0,2.0,60.0,0.0,3.0,3.0,63.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,no,yes,yes,no,no,yes,yes,no,yes,yes
2,2,abraham lincoln traditional school,public,10444 n 39th ave.,phoenix,maricopa,85051.0,n,82.0,0.988,0.988,0.976,0.988,0.976,0.012,0.012,0.024,0.012,0.012,2015,81.0,2.0,1.0,-1.0,82.0,1.0,0.0,-1.0,82.0,1.0,0.0,-1.0,82.0,1.0,0.0,-1.0,81.0,1.0,1.0,0.0,no,no,no,no,no,yes,yes,yes,yes,yes
3,3,acacia elementary school (phoenix),public,3021 w evans dr.,phoenix,maricopa,85053.0,n,119.0,0.9500000000000001,0.958,0.958,0.958,0.8740000000000001,0.042,0.042,0.042,0.042,0.0,2015,115.0,5.0,4.0,-1.0,115.0,5.0,4.0,-1.0,114.0,5.0,5.0,0.0,115.0,5.0,4.0,-1.0,105.0,0.0,14.0,14.0,no,no,no,no,yes,yes,yes,yes,yes,no
4,4,acacia elementary school (vail),charter,12955 east colossal cave rd.,vail,pima,85641.0,n,117.0,0.9400000000000001,0.9570000000000001,0.9740000000000001,0.915,0.915,0.034,0.026000000000000002,0.026000000000000002,0.051,0.051,2015,114.0,3.0,3.0,0.0,112.0,3.0,5.0,2.0,110.0,4.0,7.0,3.0,108.0,6.0,9.0,3.0,108.0,6.0,9.0,3.0,no,yes,yes,yes,yes,yes,yes,no,no,no
5,5,academia del pueblo,charter,113 w. sherman st.,phoenix,maricopa,85003.0,n,54.0,1.0,1.0,1.0,1.0,0.7959999999999999,0.0,0.0,0.0,0.0,0.0,2015,54.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,43.0,0.0,11.0,11.0,no,no,no,no,yes,yes,yes,yes,yes,no
8,8,academy del sol,charter,7102 w  valley crest pl.,tucson,pima,85757.0,n,108.0,0.991,0.991,0.991,0.991,0.991,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,2015,108.0,1.0,0.0,-1.0,108.0,1.0,0.0,-1.0,108.0,1.0,0.0,-1.0,108.0,1.0,0.0,-1.0,108.0,1.0,0.0,-1.0,no,no,no,no,no,yes,yes,yes,yes,yes
10,10,academy of math & science (camelback),charter,6633 w. camelback rd.,phoenix,maricopa,85033.0,n,81.0,0.7040000000000001,0.691,0.679,0.8150000000000001,0.667,0.012,0.012,0.012,0.012,0.012,2015,55.0,1.0,26.0,25.0,56.0,1.0,25.0,24.0,58.0,1.0,23.0,22.0,67.0,1.0,14.0,13.0,55.0,1.0,26.0,25.0,yes,yes,yes,yes,yes,no,no,no,no,no
11,11,academy of math & science (flower),charter,3335 w. flower st.,phoenix,maricopa,85017.0,n,53.0,0.981,0.981,0.981,0.981,0.981,0.019,0.019,0.019,0.019,0.019,2015,52.0,1.0,1.0,0.0,52.0,1.0,1.0,0.0,52.0,1.0,1.0,0.0,52.0,1.0,1.0,0.0,52.0,1.0,1.0,0.0,no,no,no,no,no,yes,yes,yes,yes,yes
12,12,academy of math and science (tucson),charter,1557 w prince rd.,tucson,pima,85705.0,n,69.0,0.986,0.986,0.986,0.986,0.986,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,2015,69.0,1.0,0.0,-1.0,69.0,1.0,0.0,-1.0,69.0,1.0,0.0,-1.0,69.0,1.0,0.0,-1.0,69.0,1.0,0.0,-1.0,no,no,no,no,no,yes,yes,yes,yes,yes
13,13,academy of tucson elementary school,charter,9209 e. wrightstown rd.,tucson,pima,85715.0,n,64.0,0.953,1.0,0.9690000000000001,1.0,0.9690000000000001,0.0,0.0,0.0,0.0,0.0,2015,63.0,0.0,1.0,1.0,64.0,0.0,0.0,0.0,61.0,0.0,3.0,3.0,64.0,0.0,0.0,0.0,63.0,0.0,1.0,1.0,no,no,yes,no,no,yes,yes,yes,yes,yes
15,15,acclaim academy,charter,7624 w indian school rd.,phoenix,maricopa,85033.0,n,46.0,0.848,0.826,0.804,0.87,0.804,0.0,0.0,0.0,0.0,0.0,2015,37.0,0.0,9.0,9.0,38.0,0.0,8.0,8.0,40.0,0.0,6.0,6.0,41.0,0.0,5.0,5.0,37.0,0.0,9.0,9.0,yes,yes,yes,yes,yes,no,no,no,no,no
16,16,acorn montessori,charter,7555 e long look dr.,prescott valley,yavapai,86314.0,n,64.0,0.8440000000000001,0.891,0.8440000000000001,0.938,0.797,0.156,0.109,0.156,0.063,0.063,2015,55.0,9.0,9.0,0.0,58.0,7.0,6.0,-1.0,55.0,9.0,9.0,0.0,61.0,4.0,3.0,-1.0,52.0,4.0,12.0,8.0,no,no,no,no,yes,no,no,no,no,no
17,17,adams elementary school,public,738 s longmore ave. ,mesa,maricopa,85202.0,y,114.0,0.965,0.991,0.9820000000000001,0.991,0.93,0.009000000000000001,0.009000000000000001,0.018000000000000002,0.0,0.0,2015,112.0,3.0,2.0,-1.0,113.0,2.0,1.0,-1.0,111.0,1.0,3.0,2.0,113.0,0.0,1.0,1.0,107.0,0.0,7.0,7.0,no,no,yes,no,yes,yes,yes,yes,yes,no
18,18,adams traditional academy,charter,2323 w. parkside ln.,phoenix,maricopa,85027.0,n,140.0,0.914,0.914,0.914,0.914,0.721,0.086,0.086,0.086,0.086,0.086,2015,128.0,12.0,12.0,0.0,128.0,12.0,12.0,0.0,128.0,12.0,12.0,0.0,128.0,12.0,12.0,0.0,101.0,9.0,39.0,30.0,no,no,no,no,yes,no,no,no,no,no
20,20,advance u,charter,449 e southern ave.,phoenix,maricopa,85040.0,n,24.0,0.75,0.875,0.792,0.958,0.542,0.25,0.125,0.20800000000000002,0.042,0.167,2015,20.0,5.0,4.0,-1.0,21.0,3.0,3.0,0.0,18.0,5.0,6.0,1.0,23.0,1.0,1.0,0.0,14.0,3.0,10.0,7.0,no,no,no,no,yes,no,no,no,yes,no
