,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,exempt_tdap
0,91st Psalm Christian School,Private,2020 E. Baseline Rd. ,Phoenix,Maricopa,85042.0,N,<20,,,,,,,,,,,2015,
1,Abraham Lincoln Traditional School,Public,10444 N 39th Ave.,Phoenix,Maricopa,85051.0,N,60,98.30%,98.30%,98.30%,98.30%,81.70%,1.70%,1.70%,1.70%,1.70%,0.00%,2015,
2,Acacia Elementary School,Public,3021 W Evans Dr.,Phoenix,Maricopa,85053.0,N,91,98.90%,97.80%,97.80%,100%,96.70%,0.00%,2.20%,2.20%,0.00%,0.00%,2015,
3,Academia Del Pueblo,Charter,113 W. Sherman St.,Phoenix,Maricopa,85003.0,N,39,89.70%,97.40%,97.40%,97.40%,89.70%,2.60%,2.60%,2.60%,2.60%,2.60%,2015,
4,Academy Del Sol,Charter,7102 W  Valley Crest Pl.,Tucson,Pima,85757.0,N,59,100%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
5,Academy Of Excellence,Charter,425 N. 36th St. ,Phoenix,Maricopa,85008.0,N,<20,,,,,,,,,,,2015,
6,Academy Of Math & Science,Charter,3335 W. Flower St. ,Phoenix,Maricopa,85017.0,N,34,100%,100%,100%,100%,97.10%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
7,Academy Of Math & Science Camelback,Charter,6633 W. Camelback Rd. ,Phoenix,Maricopa,85033.0,N,43,41.90%,88.40%,88.40%,88.40%,88.40%,2.30%,2.30%,2.30%,2.30%,2.30%,2015,
8,Academy Of Math And Science,Charter,1557 W Prince Rd.,Tucson,Pima,85705.0,N,36,97.20%,97.20%,97.20%,97.20%,97.20%,2.80%,2.80%,2.80%,2.80%,2.80%,2015,
9,Academy Of Tucson Middle School,Charter,7310 E. 22nd St. ,Tucson,Pima,85710.0,N,75,89.30%,92.00%,92.00%,93.30%,82.70%,9.30%,8.00%,8.00%,6.70%,4.00%,2015,
10,Accel,Private,10251 N 35th Ave.,Phoenix,Maricopa,85051.0,Y,<20,,,,,,,,,,,2015,
11,Accel - East Campus,Private,1430 E Baseline Rd. ,Tempe,Maricopa,85283.0,N,<20,,,,,,,,,,,2015,
12,Accelerated Learning Laboratory,Charter,5245 N Camino De Oeste,Tucson,Pima,85745.0,N,28,78.60%,89.30%,89.30%,89.30%,82.10%,17.90%,10.70%,10.70%,10.70%,10.70%,2015,
13,Acclaim Academy,Charter,7624 W Indian School Rd. ,Phoenix,Maricopa,85033.0,N,46,56.50%,89.10%,84.80%,91.30%,78.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
14,Acorn Montessori Charter School,Charter,8556 E Loos Dr.,Prescott Valley,Yavapai,86314.0,N,30,76.70%,100%,100%,100%,100%,13.30%,0.00%,0.00%,0.00%,0.00%,2015,
15,Adams Elementary School,Public,738 S Longmore Rd. ,Mesa,Maricopa,85202.0,Y,87,97.70%,98.90%,98.90%,98.90%,78.20%,1.10%,1.10%,1.10%,1.10%,0.00%,2015,
16,Adams Traditional Academy,Charter,2323 W. Parkside Ln,Phoenix,Maricopa,85027.0,N,56,91.10%,91.10%,91.10%,91.10%,91.10%,0.00%,8.90%,8.90%,8.90%,0.00%,2015,
17,Agua Caliente Elementary School,Public,11420 E Limberlost Rd.,Tucson,Pima,85749.0,Y,72,98.60%,100%,100%,100%,0.00%,1.40%,0.00%,0.00%,0.00%,0.00%,2015,
18,Aguila Elementary School,Public,50023 N 514th  Ave.,Aguila,Maricopa,85320.0,N,<20,,,,,,,,,,,2015,
19,Aire Libre Elementary School,Public,16428 N 21 St. ,Phoenix,Maricopa,85022.0,Y,40,92.50%,97.50%,97.50%,97.50%,85.00%,7.50%,2.50%,2.50%,2.50%,2.50%,2015,
20,Ajo Elementary School,Public,111 Well Rd. ,Ajo,Pima,85321.0,N,34,85.30%,94.10%,100%,100%,85.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
21,Alfred F Garcia School,Public,1441 S. 27th Ave.,Phoenix,Maricopa,85009.0,Y,69,98.60%,100%,100%,100%,100%,0.00%,0.00%,0.00%,0.00%,0.00%,2015,
22,Alhambra Traditional School,Public,3736 W. Osborn Rd.,Phoenix,Maricopa,85019.0,Y,78,93.60%,96.20%,97.40%,96.20%,82.10%,2.60%,3.80%,2.60%,2.60%,6.40%,2015,
23,Alice Vail Middle School,Public,5350 E 16th St. ,Tucson,Pima,85711.0,Y,205,96.60%,99.00%,99.00%,99.00%,95.10%,1.50%,1.00%,1.00%,1.00%,1.00%,2015,
