SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Career Success Schools - Sage Elementary,Charter,N,,< 20,3120 N 32ND ST,PHOENIX,AZ,85018,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91st Psalm Christian School,Private,N,,< 20,2020 E BASELINE RD,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abraham Lincoln School,Public,N,,49,10444 N 39TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,GREATER THAN,98.0%,2.0%,100.0%,100.0%,0.0%,100.0%,95.9%,4.1%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,4.1%,0.0%,2.0%
Academy Del Sol - Hope,Charter,N,,57,7102 W VALLEY CREST PL,TUCSON,AZ,85757,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.2%,1.8%,100.0%,75.4%,1.8%,101.8%,100.0%,0.0%,100.0%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Academy Of Excellence,Charter,N,,< 20,425 N 36TH ST,PHOENIX,AZ,85008,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy Of Math & Science Camelback,Charter,N,,57,6633 W CAMELBACK RD,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,98.2%,0.0%,98.2%,89.5%,0.0%,91.2%,87.7%,0.0%,89.5%,98.2%,0.0%,98.2%,98.2%,0.0%,98.2%,96.5%,1.8%,98.2%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Academy Of Math And Science,Charter,N,,44,1557 W PRINCE RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,79.5%,18.2%,97.7%,79.5%,18.2%,97.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,18.2%,0.0%,0.0%
Academy Of Mathematics And Science South,Charter,N,,66,3335 W FLOWER ST,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,93.9%,3.0%,97.0%,93.9%,3.0%,100.0%,86.4%,6.1%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,0.0%
Academy Of Tucson Middle School,Charter,N,,72,7310 E 22ND ST,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,86.1%,2.8%,88.9%,84.7%,2.8%,87.5%,98.6%,0.0%,98.6%,97.2%,1.4%,98.6%,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,4.2%,1.4%,0.0%
Accel,Private,Y,RN,< 20,10251 N 35TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accel - East Campus,Private,N,,< 20,1430 E BASELINE RD,TEMPE,AZ,85283,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accelerated Learning Laboratory,Charter,N,,< 20,5245 N CAMINO DE OESTE,TUCSON,AZ,85745,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acclaim Academy,Charter,N,,47,7624 W INDIAN SCHOOL RD,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,10.6%,0.0%,10.6%,4.3%,0.0%,4.3%,4.3%,0.0%,4.3%,80.9%,0.0%,80.9%,83.0%,0.0%,83.0%,83.0%,0.0%,83.0%,95.7%,0.0%,95.7%,0.0%,100.0%,0.0%
Acorn Montessori Charter School,Charter,N,,38,8556 E LOOS DR,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Adams Elementary School,Public,Y,RN,88,738 S LONGMORE,MESA,AZ,85202,MARICOPA COUNTY,GREATER THAN,98.9%,0.0%,98.9%,97.7%,1.1%,100.0%,97.7%,1.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.9%,1.1%,100.0%,2.3%,1.1%,0.0%
Adams Traditional Academy,Charter,Y,RN,61,2323 W PARKSIDE LN,PHOENIX,AZ,85027,MARICOPA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,88.5%,11.5%,100.0%,85.2%,14.8%,100.0%,98.4%,1.6%,100.0%,95.1%,4.9%,100.0%,98.4%,1.6%,100.0%,96.7%,3.3%,100.0%,50.8%,0.0%,1.6%
Agua Caliente Elementary School,Public,Y,RN,80,11420 E LIMBERLOST RD,TUCSON,AZ,85749,PIMA COUNTY,GREATER THAN,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,1.3%,0.0%,0.0%
Aguila Elementary School,Public,N,,< 20,50023 N. 51ST AVE,AGUILA,AZ,85320,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aire Libre Elementary School,Public,Y,RN,61,16428 N 21ST ST,PHOENIX,AZ,85022,MARICOPA COUNTY,GREATER THAN,93.4%,4.9%,98.4%,96.7%,0.0%,96.7%,95.1%,4.9%,100.0%,98.4%,1.6%,100.0%,96.7%,3.3%,100.0%,98.4%,1.6%,100.0%,98.4%,0.0%,98.4%,4.9%,0.0%,1.6%
Alfred F Garcia School,Public,Y,LPN,55,1441 S 27TH AVE,PHOENIX,AZ,85009,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,92.7%,0.0%,92.7%,92.7%,0.0%,92.7%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Alhambra Traditional School,Public,Y,LPN,76,3736 W OSBORN RD,PHOENIX,AZ,85019,MARICOPA COUNTY,GREATER THAN,98.7%,1.3%,100.0%,96.1%,2.6%,98.7%,96.1%,2.6%,98.7%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.6%,0.0%,0.0%
Alice Vail Middle School,Public,Y,RN,267,5350 E 16TH ST,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,99.6%,0.4%,100.0%,97.0%,1.5%,98.9%,97.0%,1.1%,98.5%,99.3%,0.4%,99.6%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,1.5%,0.0%,0.0%
All Saints Catholic School,Private,N,,< 20,1425 E YAQUI ST,SIERRA VISTA,AZ,85650,COCHISE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Saints Episcopal Day School,Private,Y,RN,58,6300 N CENTRAL AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.6%,0.0%,98.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Alpine Elementary School,Public,N,,< 20,"COUNTY RD 2311, #101",ALPINE,AZ,85920,APACHE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
