SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,56,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,5.4%,0.0%,0.0%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,139,87.8%,1.4%,89.2%,84.2%,1.4%,85.6%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,98.6%,0.7%,99.3%,98.6%,1.4%,100.0%,2.9%,0.0%,1.4%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,LPN,CHARTER,68,54.4%,0.0%,60.3%,48.5%,0.0%,54.4%,76.5%,0.0%,76.5%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,0.0%,0.0%,0.0%
ACADEMY DEL SOL - ROGER RD,732 W ROGER RD,TUCSON,PIMA,85705,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,NO,,CHARTER,165,88.5%,1.2%,92.1%,87.9%,1.8%,92.1%,97.0%,0.6%,97.6%,97.6%,0.6%,98.2%,98.2%,0.0%,98.2%,98.8%,0.0%,98.8%,1.8%,0.0%,0.6%
ACADEMY OF MATH AND SCIENCE - PRINCE RD,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,80,62.5%,35.0%,100.0%,62.5%,35.0%,100.0%,83.8%,16.3%,100.0%,91.3%,8.8%,100.0%,96.3%,3.8%,100.0%,95.0%,5.0%,100.0%,35.0%,1.3%,3.8%
ACADEMY OF MATH AND SCIENCE AVONDALE,10649  W BUCKEYE ROAD,PHOENIX,MARICOPA,85353,NO,,CHARTER,115,72.2%,1.7%,74.8%,70.4%,1.7%,73.0%,84.3%,0.9%,86.1%,91.3%,0.9%,93.0%,89.6%,0.9%,91.3%,98.3%,0.9%,99.1%,0.9%,1.7%,0.9%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,125,96.0%,0.8%,100.0%,71.2%,0.8%,76.8%,84.8%,0.8%,86.4%,92.0%,1.6%,93.6%,92.0%,1.6%,93.6%,93.6%,0.8%,94.4%,1.6%,0.0%,0.8%
ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,GLENDALE,MARICOPA,85301,NO,,CHARTER,129,100.0%,0.0%,100.0%,67.4%,4.7%,100.0%,86.0%,0.8%,86.8%,89.9%,1.6%,91.5%,91.5%,0.8%,92.2%,93.0%,6.2%,99.2%,6.2%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,PEORIA,MARICOPA,85345,NO,,CHARTER,70,72.9%,18.6%,91.4%,74.3%,18.6%,92.9%,85.7%,7.1%,92.9%,90.0%,7.1%,97.1%,91.4%,5.7%,97.1%,88.6%,8.6%,97.1%,21.4%,4.3%,21.4%
ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,1445  W BASELINE ROAD,PHOENIX,MARICOPA,85041,NO,,CHARTER,128,43.0%,0.0%,43.0%,43.8%,0.0%,43.8%,67.2%,0.0%,67.2%,69.5%,0.0%,69.5%,100.0%,0.0%,100.0%,72.7%,0.0%,72.7%,0.8%,0.0%,0.0%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,60,61.7%,1.7%,65.0%,60.0%,1.7%,63.3%,90.0%,0.0%,90.0%,91.7%,0.0%,91.7%,95.0%,0.0%,95.0%,95.0%,0.0%,95.0%,1.7%,0.0%,0.0%
ACADEMY OF TUCSON MIDDLE SCHOOL,7310 E 22ND STREET,TUCSON,PIMA,85710,NO,,CHARTER,54,85.2%,1.9%,96.3%,79.6%,3.7%,94.4%,92.6%,1.9%,94.4%,96.3%,1.9%,98.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.7%,0.0%,0.0%
ACCEL - METRO CAMPUS (LATCH SCHOOL),10251 N 35TH AVE,PHOENIX,MARICOPA,85051,YES,LPN,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,22,95.5%,4.5%,100.0%,90.9%,4.5%,95.5%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,90.9%,4.5%,95.5%,90.9%,4.5%,95.5%,4.5%,0.0%,4.5%
